benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim,0.0110,0.0468,1.0000,53949,1,,782,73,0,0,0,0,0,1284,592
test-llong,victim,0.0101,0.0518,1.0000,30132,1,,545,22,0,0,0,0,0,952,305
test-lswlr,victim,0.0270,0.1016,1.0000,9367,1,,486,9,0,0,0,0,0,875,253
test-math,victim,0.0042,0.0353,1.0000,214193,1,,2032,220,0,0,0,0,0,3139,907
test-fmath,victim,0.0110,0.0469,1.0000,53931,1,,783,73,0,0,0,0,0,1285,592
test-llong,victim,0.0101,0.0519,1.0000,30114,1,,546,22,0,0,0,0,0,953,305
test-lswlr,victim,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,0,0,0,876,253
test-math,victim,0.0042,0.0353,1.0000,214171,1,,2033,220,0,0,0,0,0,3140,907
test-fmath,victim,0.0110,0.0469,1.0000,53931,1,,783,73,0,0,0,0,0,1285,592
test-llong,victim,0.0101,0.0519,1.0000,30114,1,,546,22,0,0,0,0,0,953,305
test-lswlr,victim,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,0,0,0,876,253
test-math,victim,0.0042,0.0353,1.0000,214171,1,,2033,220,0,0,0,0,0,3140,907
