config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.0282,1.0000,53949,1,,0,0,,471,0,0.0000,471,350,0.7431,847,968,592,1560,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0418,1.0000,30132,1,,0,0,,440,0,0.0000,440,346,0.7864,658,752,305,1057,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.0909,1.0000,9367,1,,0,0,,435,0,0.0000,435,346,0.7954,623,712,253,965,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.0095,1.0000,214193,1,,0,0,,544,0,0.0000,544,371,0.6820,1211,1395,907,2302,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,379,0.7751,1650,2226,253,2479,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2267,0.2940,5443,1277,0.2346,62490,71168,907,72075,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,379,0.7751,1650,2226,253,2479,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2267,0.2940,5443,1277,0.2346,62490,71168,907,72075,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-fmath,stream,0.0110,0.0282,1.0000,53949,1,,0,0,,0,0,,471,376,0.7983,1425,1520,592,2112,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-llong,stream,0.0101,0.0418,1.0000,30132,1,,0,0,,0,0,,440,372,0.8455,1020,1088,305,1393,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-lswlr,stream,0.0270,0.0909,1.0000,9367,1,,0,0,,0,0,,435,371,0.8529,960,1024,253,1277,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-math,stream,0.0042,0.0095,1.0000,214193,1,,0,0,,0,0,,544,398,0.7316,2190,2347,907,3254,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0.0000,0,0,,471,376,0.7983,1425,1520,592,2112,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0.0000,0,0,,440,372,0.8455,1020,1088,305,1393,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0.0000,0,0,,435,371,0.8529,960,1024,253,1277,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0.0000,0,0,,544,398,0.7316,2190,2347,907,3254,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.0347,1.0000,53949,1,,0,0,,580,70,0.1207,510,199,0.3902,311,890,592,1482,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0457,1.0000,30132,1,,0,0,,481,6,0.0125,475,199,0.4189,276,758,305,1063,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.0963,1.0000,9367,1,,0,0,,461,0,0.0000,461,201,0.4360,260,712,253,965,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.0140,1.0000,214193,1,,0,0,,806,2,0.0025,804,222,0.2761,582,1580,907,2487,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.0347,1.0000,53949,1,,0,0,,580,70,0.1207,510,199,0.3902,311,890,592,1482,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0457,1.0000,30132,1,,0,0,,481,6,0.0125,475,199,0.4189,276,758,305,1063,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.0963,1.0000,9367,1,,0,0,,461,0,0.0000,461,201,0.4360,260,712,253,965,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.0140,1.0000,214193,1,,0,0,,806,2,0.0025,804,222,0.2761,582,1580,907,2487,results/ss/miss_stream_mc4_d2__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,332,0.1830,0,0,,1482,397,0.2679,3255,5472,592,6064,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,44,0.0666,0,0,,617,332,0.5381,855,1677,305,1982,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,35,0.0653,0,0,,501,302,0.6028,597,1262,253,1515,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2026,0.2628,0,0,,5684,786,0.1383,14694,24104,907,25011,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,332,0.1830,0,0,,1482,397,0.2679,3255,5472,592,6064,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,44,0.0666,0,0,,617,332,0.5381,855,1677,305,1982,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,35,0.0653,0,0,,501,302,0.6028,597,1262,253,1515,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2026,0.2628,0,0,,5684,786,0.1383,14694,24104,907,25011,results/ss/victim_stream_vc8_d4__dl1:16:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,miss_stream,0.0110,0.0282,1.0000,53949,1,,0,0,,471,0,0.0000,471,376,0.7983,1425,1520,592,2112,results/ss/miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-llong,miss_stream,0.0101,0.0418,1.0000,30132,1,,0,0,,440,0,0.0000,440,372,0.8455,1020,1088,305,1393,results/ss/miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-lswlr,miss_stream,0.0270,0.0909,1.0000,9367,1,,0,0,,435,0,0.0000,435,371,0.8529,960,1024,253,1277,results/ss/miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-math,miss_stream,0.0042,0.0095,1.0000,214193,1,,0,0,,544,0,0.0000,544,398,0.7316,2190,2347,907,3254,results/ss/miss_stream_mc16_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_miss_stream.csv
miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l,test-fmath,miss,0.0110,0.0347,1.0000,53949,1,,0,0,,580,70,0.1207,0,0,,0,778,592,1370,results/ss/miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l,test-llong,miss,0.0101,0.0457,1.0000,30132,1,,0,0,,481,6,0.0125,0,0,,0,681,305,986,results/ss/miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l,test-lswlr,miss,0.0270,0.0963,1.0000,9367,1,,0,0,,461,0,0.0000,0,0,,0,653,253,906,results/ss/miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss.csv
miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l,test-math,miss,0.0042,0.0140,1.0000,214193,1,,0,0,,806,1,0.0012,0,0,,0,1221,907,2128,results/ss/miss_mc4__dl1:256:32:1:l__ul2:65536:64:4:l/ss_miss.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,451,0.2486,0,0,,1363,363,0.2663,3000,5132,592,5724,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,58,0.0877,0,0,,603,327,0.5423,828,1641,305,1946,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,37,0.0690,0,0,,499,302,0.6052,591,1254,253,1507,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2659,0.3449,0,0,,5051,636,0.1259,13245,22172,907,23079,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,451,0.2486,0,0,,1363,363,0.2663,3000,5132,592,5724,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,58,0.0877,0,0,,603,327,0.5423,828,1641,305,1946,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,37,0.0690,0,0,,499,302,0.6052,591,1254,253,1507,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2659,0.3449,0,0,,5051,636,0.1259,13245,22172,907,23079,results/ss/victim_stream_vc16_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-fmath,victim_stream,0.0110,0.0347,1.0000,53949,1,,580,38,0.0655,0,0,,542,380,0.7011,2430,2860,592,3452,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-llong,victim_stream,0.0101,0.0457,1.0000,30132,1,,481,5,0.0104,0,0,,476,377,0.7920,1485,1790,305,2095,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-lswlr,victim_stream,0.0270,0.0963,1.0000,9367,1,,461,0,0.0000,0,0,,461,375,0.8134,1290,1568,253,1821,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-math,victim_stream,0.0042,0.0140,1.0000,214193,1,,806,2,0.0025,0,0,,804,431,0.5361,5595,6384,907,7291,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-fmath,victim_stream,0.0110,0.0347,1.0000,53949,1,,580,38,0.0655,0,0,,542,380,0.7011,2430,2860,592,3452,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-llong,victim_stream,0.0101,0.0457,1.0000,30132,1,,481,5,0.0104,0,0,,476,377,0.7920,1485,1790,305,2095,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-lswlr,victim_stream,0.0270,0.0963,1.0000,9367,1,,461,0,0.0000,0,0,,461,375,0.8134,1290,1568,253,1821,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l,test-math,victim_stream,0.0042,0.0140,1.0000,214193,1,,806,2,0.0025,0,0,,804,431,0.5361,5595,6384,907,7291,results/ss/victim_stream_vc4_d16__dl1:256:32:1:l__ul2:32768:64:4:l/ss_victim_stream.csv
miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.0110,0.0282,1.0000,53949,1,,0,0,,471,0,0.0000,471,198,0.4204,273,546,592,1138,results/ss/miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0418,1.0000,30132,1,,0,0,,440,0,0.0000,440,198,0.4500,242,484,305,789,results/ss/miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.0270,0.0909,1.0000,9367,1,,0,0,,435,0,0.0000,435,199,0.4575,236,472,253,725,results/ss/miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.0095,1.0000,214193,1,,0,0,,544,0,0.0000,544,210,0.3860,334,679,907,1586,results/ss/miss_stream_mc16_d2__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l,test-fmath,victim,0.0110,0.0347,1.0000,53949,1,,580,38,0.0655,0,0,,0,0,,0,810,592,1402,results/ss/victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim.csv
victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l,test-llong,victim,0.0101,0.0457,1.0000,30132,1,,481,6,0.0125,0,0,,0,0,,0,681,305,986,results/ss/victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim.csv
victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l,test-lswlr,victim,0.0270,0.0963,1.0000,9367,1,,461,0,0.0000,0,0,,0,0,,0,653,253,906,results/ss/victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim.csv
victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l,test-math,victim,0.0042,0.0140,1.0000,214193,1,,806,64,0.0794,0,0,,0,0,,0,1158,907,2065,results/ss/victim_vc8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim.csv
