config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,266,0.1466,0,0,,1548,396,0.2558,3456,5740,592,6332,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,32,0.0484,0,0,,629,331,0.5262,894,1729,305,2034,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0.0541,0,0,,507,302,0.5957,615,1286,253,1539,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1534,0.1990,0,0,,6176,886,0.1435,15870,25672,907,26579,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,266,0.1466,0,0,,1548,396,0.2558,3456,5740,592,6332,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,32,0.0484,0,0,,629,331,0.5262,894,1729,305,2034,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0.0541,0,0,,507,302,0.5957,615,1286,253,1539,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1534,0.1990,0,0,,6176,886,0.1435,15870,25672,907,26579,results/ss/victim_stream_vc4_d4__dl1:16:32:1:l__ul2:65536:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l,test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,149,0.0821,0,0,,1665,541,0.3249,16860,19116,592,19708,results/ss/victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l,test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,24,0.0363,0,0,,637,408,0.6405,3435,4201,305,4506,results/ss/victim_stream_vc2_d16__dl1:16:32:1:l__ul2:8192:64:4:l/ss_victim_stream.csv
