benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,95,0,0,687,209,478,1531,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,30,0,0,515,202,313,1055,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,11,0,0,475,201,274,946,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,321,0,0,1711,282,1429,4185,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,95,0,0,688,210,478,1531,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,30,0,0,516,203,313,1055,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,202,274,946,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,321,0,0,1712,283,1429,4185,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,95,0,0,688,210,478,1531,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,30,0,0,516,203,313,1055,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,202,274,946,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,321,0,0,1712,283,1429,4185,907
