benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss,0.0110,0.1086,1.0000,53949,1,,0,0,1814,531,0,0,0,2415,592
test-llong,miss,0.0101,0.0628,1.0000,30132,1,,0,0,661,63,0,0,0,1135,305
test-lswlr,miss,0.0270,0.1120,1.0000,9367,1,,0,0,536,55,0,0,0,947,253
test-math,miss,0.0042,0.1340,1.0000,214193,1,,0,0,7710,3397,0,0,0,8825,907
test-fmath,miss,0.0110,0.1087,1.0000,53931,1,,0,0,1815,531,0,0,0,2416,592
test-llong,miss,0.0101,0.0629,1.0000,30114,1,,0,0,662,63,0,0,0,1136,305
test-lswlr,miss,0.0271,0.1122,1.0000,9349,1,,0,0,537,55,0,0,0,948,253
test-math,miss,0.0042,0.1341,1.0000,214171,1,,0,0,7711,3397,0,0,0,8826,907
test-fmath,miss,0.0110,0.1087,1.0000,53931,1,,0,0,1815,531,0,0,0,2416,592
test-llong,miss,0.0101,0.0629,1.0000,30114,1,,0,0,662,63,0,0,0,1136,305
test-lswlr,miss,0.0271,0.1122,1.0000,9349,1,,0,0,537,55,0,0,0,948,253
test-math,miss,0.0042,0.1341,1.0000,214171,1,,0,0,7711,3397,0,0,0,8826,907
