benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,445,0,0,1369,441,6496,8556,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,58,0,0,603,376,1589,2353,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,37,0,0,499,353,1022,1634,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2624,0,0,5086,805,29967,38760,907
