benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,332,0,0,1482,259,1223,3578,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,48,0,0,613,217,396,1329,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,35,0,0,501,201,300,1066,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,2038,0,0,5672,528,5144,14800,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,332,0,0,1483,260,1223,3578,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,48,0,0,614,218,396,1329,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,35,0,0,502,202,300,1066,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,2038,0,0,5673,529,5144,14800,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,332,0,0,1483,260,1223,3578,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,48,0,0,614,218,396,1329,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,35,0,0,502,202,300,1066,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,2038,0,0,5673,529,5144,14800,907
