benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,267,0,0,1547,256,1291,3714,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,35,0,0,626,217,409,1355,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,28,0,0,508,201,307,1080,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1541,0,0,6169,597,5572,15656,907
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,267,0,0,1547,256,1291,3714,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,35,0,0,626,217,409,1355,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,28,0,0,508,201,307,1080,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1541,0,0,6169,597,5572,15656,907
