benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,baseline,0.0110,0.0468,1.0000,53949,1,,0,0,0,0,0,0,0,1357,592
test-llong,baseline,0.0101,0.0518,1.0000,30132,1,,0,0,0,0,0,0,0,974,305
test-lswlr,baseline,0.0270,0.1016,1.0000,9367,1,,0,0,0,0,0,0,0,884,253
test-math,baseline,0.0042,0.0353,1.0000,214193,1,,0,0,0,0,0,0,0,3359,907
test-fmath,baseline,0.0110,0.0469,1.0000,53931,1,,0,0,0,0,0,0,0,1358,592
test-llong,baseline,0.0101,0.0519,1.0000,30114,1,,0,0,0,0,0,0,0,975,305
test-lswlr,baseline,0.0271,0.1018,1.0000,9349,1,,0,0,0,0,0,0,0,885,253
test-math,baseline,0.0042,0.0353,1.0000,214171,1,,0,0,0,0,0,0,0,3360,907
test-fmath,baseline,0.0110,0.0469,1.0000,53931,1,,0,0,0,0,0,0,0,1358,592
test-llong,baseline,0.0101,0.0519,1.0000,30114,1,,0,0,0,0,0,0,0,975,305
test-lswlr,baseline,0.0271,0.1018,1.0000,9349,1,,0,0,0,0,0,0,0,885,253
test-math,baseline,0.0042,0.0353,1.0000,214171,1,,0,0,0,0,0,0,0,3360,907
