benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,56,0,0,726,403,4845,5743,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,21,0,0,524,383,2115,2685,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,8,0,0,478,378,1500,1998,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,95,0,0,1937,547,20850,23567,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,56,0,0,727,404,4845,5743,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,21,0,0,525,384,2115,2685,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,8,0,0,479,379,1500,1998,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,95,0,0,1938,548,20850,23567,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,56,0,0,727,404,4845,5743,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,21,0,0,525,384,2115,2685,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,8,0,0,479,379,1500,1998,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,95,0,0,1938,548,20850,23567,907
