benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,baseline,0.0110,0.0282,1.0000,53949,1,,0,0,0,0,0,0,0,471,592
test-llong,baseline,0.0101,0.0418,1.0000,30132,1,,0,0,0,0,0,0,0,440,305
test-lswlr,baseline,0.0270,0.0909,1.0000,9367,1,,0,0,0,0,0,0,0,435,253
test-math,baseline,0.0042,0.0095,1.0000,214193,1,,0,0,0,0,0,0,0,555,907
test-fmath,baseline,0.0110,0.0283,1.0000,53931,1,,0,0,0,0,0,0,0,472,592
test-llong,baseline,0.0101,0.0419,1.0000,30114,1,,0,0,0,0,0,0,0,441,305
test-lswlr,baseline,0.0271,0.0911,1.0000,9349,1,,0,0,0,0,0,0,0,436,253
test-math,baseline,0.0042,0.0095,1.0000,214171,1,,0,0,0,0,0,0,0,556,907
test-fmath,baseline,0.0110,0.0283,1.0000,53931,1,,0,0,0,0,0,0,0,472,592
test-llong,baseline,0.0101,0.0419,1.0000,30114,1,,0,0,0,0,0,0,0,441,305
test-lswlr,baseline,0.0271,0.0911,1.0000,9349,1,,0,0,0,0,0,0,0,436,253
test-math,baseline,0.0042,0.0095,1.0000,214171,1,,0,0,0,0,0,0,0,556,907
