benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim,0.0110,0.1086,1.0000,53949,1,,1814,335,0,0,0,0,0,2611,592
test-llong,victim,0.0101,0.0628,1.0000,30132,1,,661,47,0,0,0,0,0,1151,305
test-lswlr,victim,0.0270,0.1120,1.0000,9367,1,,536,36,0,0,0,0,0,966,253
test-math,victim,0.0042,0.1340,1.0000,214193,1,,7710,2027,0,0,0,0,0,10195,907
test-fmath,victim,0.0110,0.1087,1.0000,53931,1,,1815,335,0,0,0,0,0,2612,592
test-llong,victim,0.0101,0.0629,1.0000,30114,1,,662,47,0,0,0,0,0,1152,305
test-lswlr,victim,0.0271,0.1122,1.0000,9349,1,,537,36,0,0,0,0,0,967,253
test-math,victim,0.0042,0.1341,1.0000,214171,1,,7711,2027,0,0,0,0,0,10196,907
test-fmath,victim,0.0110,0.1087,1.0000,53931,1,,1815,335,0,0,0,0,0,2612,592
test-llong,victim,0.0101,0.0629,1.0000,30114,1,,662,47,0,0,0,0,0,1152,305
test-lswlr,victim,0.0271,0.1122,1.0000,9349,1,,537,36,0,0,0,0,0,967,253
test-math,victim,0.0042,0.1341,1.0000,214171,1,,7711,2027,0,0,0,0,0,10196,907
