benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,150,0,0,1664,474,8330,10652,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,24,0,0,637,382,1785,2577,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,20,0,0,516,354,1134,1762,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,962,0,0,6748,1171,39039,49128,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,150,0,0,1665,475,8330,10652,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,24,0,0,638,383,1785,2577,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,20,0,0,517,355,1134,1762,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,962,0,0,6749,1172,39039,49128,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,150,0,0,1665,475,8330,10652,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,24,0,0,638,383,1785,2577,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,20,0,0,517,355,1134,1762,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,962,0,0,6749,1172,39039,49128,907
