benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.0468,1.0000,53949,1,,0,0,782,216,566,384,2730,3487,592
test-llong,miss_stream,0.0101,0.0518,1.0000,30132,1,,0,0,545,64,481,377,1560,2093,305
test-lswlr,miss_stream,0.0270,0.1016,1.0000,9367,1,,0,0,486,19,467,376,1365,1854,253
test-math,miss_stream,0.0042,0.0353,1.0000,214193,1,,0,0,2032,593,1439,472,14505,16799,907
