benchmark,x,y
test-fmath,2.0,3452.0
test-fmath,4.0,3452.0
test-fmath,8.0,3452.0
test-fmath,16.0,3452.0
test-llong,2.0,2143.0
test-llong,4.0,2095.0
test-llong,8.0,2095.0
test-llong,16.0,2095.0
test-lswlr,2.0,1821.0
test-lswlr,4.0,1821.0
test-lswlr,8.0,1821.0
test-lswlr,16.0,1821.0
test-math,2.0,7339.0
test-math,4.0,7291.0
test-math,8.0,6283.0
test-math,16.0,5979.0
