benchmark,x,y
test-fmath,2.0,0.3672
test-fmath,4.0,0.559
test-fmath,8.0,0.6531
test-fmath,16.0,0.7011
test-llong,2.0,0.4189
test-llong,4.0,0.6345
test-llong,8.0,0.7374
test-llong,16.0,0.792
test-lswlr,2.0,0.436
test-lswlr,4.0,0.6529
test-lswlr,8.0,0.7592
test-lswlr,16.0,0.8134
test-math,2.0,0.305
test-math,4.0,0.466
test-math,8.0,0.5467
test-math,16.0,0.5878
