benchmark,x,y
test-fmath,2.0,1474.0
test-fmath,4.0,1668.0
test-fmath,8.0,2060.0
test-fmath,16.0,2844.0
test-llong,2.0,1053.0
test-llong,4.0,1191.0
test-llong,8.0,1479.0
test-llong,16.0,2031.0
test-lswlr,2.0,965.0
test-lswlr,4.0,1085.0
test-lswlr,8.0,1333.0
test-lswlr,16.0,1821.0
test-math,2.0,2189.0
test-math,4.0,2599.0
test-math,8.0,3403.0
test-math,16.0,5003.0
