benchmark,x,y
test-fmath,2.0,0.7017
test-fmath,4.0,0.7011
test-fmath,8.0,0.7011
test-fmath,16.0,0.7011
test-llong,2.0,0.7879
test-llong,4.0,0.792
test-llong,8.0,0.792
test-llong,16.0,0.792
test-lswlr,2.0,0.8134
test-lswlr,4.0,0.8134
test-lswlr,8.0,0.8134
test-lswlr,16.0,0.8134
test-math,2.0,0.5335
test-math,4.0,0.5361
test-math,8.0,0.5748
test-math,16.0,0.5878
