mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
stream,test-llong,512,4194304,661,3074.0,0.5779
stream,test-lswlr,512,4194304,536,2175.0,0.6604
stream,test-math,512,4194304,7710,58203.0,0.1442
victim_stream,test-fmath,512,8388608,1664,11244.0,0.2849
victim_stream,test-llong,512,8388608,637,2882.0,0.5997
victim_stream,test-lswlr,512,8388608,516,2015.0,0.686
victim_stream,test-math,512,8388608,6748,50035.0,0.1735
miss_stream,test-fmath,32768,4194304,471,1288.0,0.6306
miss_stream,test-llong,32768,4194304,440,873.0,0.6773
miss_stream,test-lswlr,32768,4194304,435,805.0,0.6828
miss_stream,test-math,32768,4194304,544,1830.0,0.5809
miss_stream,test-fmath,32768,4194304,471,1288.0,0.6306
miss_stream,test-llong,32768,4194304,440,873.0,0.6773
miss_stream,test-lswlr,32768,4194304,435,805.0,0.6828
miss_stream,test-math,32768,4194304,544,1830.0,0.5809
miss_stream,test-fmath,8192,4194304,506,1474.0,0.3933
miss_stream,test-llong,8192,4194304,470,1053.0,0.4234
miss_stream,test-lswlr,8192,4194304,461,965.0,0.436
miss_stream,test-math,8192,4194304,651,2189.0,0.3349
miss_stream,test-fmath,8192,8388608,507,2060.0,0.7041
miss_stream,test-llong,8192,8388608,471,1479.0,0.7431
miss_stream,test-lswlr,8192,8388608,461,1333.0,0.7592
miss_stream,test-math,8192,8388608,639,3403.0,0.5931
miss_stream,test-fmath,8192,2097152,510,1482.0,0.3902
miss_stream,test-llong,8192,2097152,475,1063.0,0.4189
miss_stream,test-lswlr,8192,2097152,461,965.0,0.436
miss_stream,test-math,8192,2097152,804,2487.0,0.2761
miss_stream,test-fmath,8192,2097152,510,1482.0,0.3902
miss_stream,test-llong,8192,2097152,475,1063.0,0.4189
miss_stream,test-lswlr,8192,2097152,461,965.0,0.436
miss_stream,test-math,8192,2097152,804,2487.0,0.2761
victim_stream,test-fmath,8192,16777216,542,3452.0,0.7011
victim_stream,test-llong,8192,16777216,476,2095.0,0.792
victim_stream,test-lswlr,8192,16777216,461,1821.0,0.8134
victim_stream,test-math,8192,16777216,729,6283.0,0.5748
miss_stream,test-fmath,2048,4194304,657,2077.0,0.3075
miss_stream,test-llong,2048,4194304,509,1348.0,0.3969
miss_stream,test-lswlr,2048,4194304,472,1193.0,0.4258
miss_stream,test-math,2048,4194304,1712,5142.0,0.1507
miss_stream,test-fmath,2048,4194304,657,2077.0,0.3075
miss_stream,test-llong,2048,4194304,509,1348.0,0.3969
miss_stream,test-lswlr,2048,4194304,472,1193.0,0.4258
miss_stream,test-math,2048,4194304,1712,5142.0,0.1507
victim_stream,test-fmath,512,16777216,1664,11244.0,0.2849
victim_stream,test-llong,512,16777216,637,2882.0,0.5997
victim_stream,test-lswlr,512,16777216,516,2015.0,0.686
victim_stream,test-math,512,16777216,6748,50035.0,0.1735
stream,test-fmath,32768,16777216,471,2112.0,0.7983
stream,test-llong,32768,16777216,440,1393.0,0.8455
stream,test-lswlr,32768,16777216,435,1277.0,0.8529
stream,test-math,32768,16777216,544,3254.0,0.7316
victim_stream,test-fmath,8192,8388608,542,2364.0,0.6531
victim_stream,test-llong,8192,8388608,476,1511.0,0.7374
victim_stream,test-lswlr,8192,8388608,461,1333.0,0.7592
victim_stream,test-math,8192,8388608,729,4027.0,0.5364
victim_stream,test-fmath,2048,16777216,685,2623.0,0.4686
victim_stream,test-llong,2048,16777216,515,1578.0,0.5903
victim_stream,test-lswlr,2048,16777216,475,1347.0,0.6337
victim_stream,test-math,2048,16777216,1710,7458.0,0.2363
victim_stream,test-fmath,2048,16777216,685,2623.0,0.4686
victim_stream,test-llong,2048,16777216,515,1578.0,0.5903
victim_stream,test-lswlr,2048,16777216,475,1347.0,0.6337
victim_stream,test-math,2048,16777216,1710,7458.0,0.2363
victim_stream,test-fmath,2048,2097152,667,5535.0,0.5907
victim_stream,test-llong,2048,2097152,512,2862.0,0.7402
victim_stream,test-lswlr,2048,2097152,476,2235.0,0.792
victim_stream,test-math,2048,2097152,1661,20810.0,0.301
miss_stream,test-fmath,32768,4194304,471,1138.0,0.4204
miss_stream,test-llong,32768,4194304,440,789.0,0.45
miss_stream,test-lswlr,32768,4194304,435,725.0,0.4575
miss_stream,test-math,32768,4194304,544,1586.0,0.386
miss_stream,test-fmath,2048,16777216,697,2147.0,0.297
miss_stream,test-llong,2048,16777216,512,1354.0,0.3945
miss_stream,test-lswlr,2048,16777216,474,1195.0,0.4262
miss_stream,test-math,2048,16777216,1915,5408.0,0.1713
miss_stream,test-fmath,32768,4194304,471,1288.0,0.6306
miss_stream,test-llong,32768,4194304,440,873.0,0.6773
miss_stream,test-lswlr,32768,4194304,435,805.0,0.6828
miss_stream,test-math,32768,4194304,544,1830.0,0.5809
miss_stream,test-fmath,32768,4194304,471,1288.0,0.6306
miss_stream,test-llong,32768,4194304,440,873.0,0.6773
miss_stream,test-lswlr,32768,4194304,435,805.0,0.6828
miss_stream,test-math,32768,4194304,544,1830.0,0.5809
miss_stream,test-fmath,32768,4194304,471,1288.0,0.6306
miss_stream,test-llong,32768,4194304,440,873.0,0.6773
miss_stream,test-lswlr,32768,4194304,435,805.0,0.6828
miss_stream,test-math,32768,4194304,544,1830.0,0.5809
stream,test-fmath,2048,2097152,782,4367.0,0.4885
stream,test-llong,2048,2097152,545,2254.0,0.6514
stream,test-lswlr,2048,2097152,486,1723.0,0.7243
stream,test-math,2048,2097152,2032,14354.0,0.2544
victim_stream,test-fmath,2048,16777216,702,3807.0,0.5299
victim_stream,test-llong,2048,16777216,522,2078.0,0.6782
victim_stream,test-lswlr,2048,16777216,477,1659.0,0.7358
victim_stream,test-math,2048,16777216,1803,12954.0,0.2568
victim_stream,test-fmath,2048,16777216,702,3807.0,0.5299
victim_stream,test-llong,2048,16777216,522,2078.0,0.6782
victim_stream,test-lswlr,2048,16777216,477,1659.0,0.7358
victim_stream,test-math,2048,16777216,1803,12954.0,0.2568
victim_stream,test-fmath,512,16777216,1482,6064.0,0.2679
victim_stream,test-llong,512,16777216,617,1982.0,0.5381
victim_stream,test-lswlr,512,16777216,501,1515.0,0.6028
victim_stream,test-math,512,16777216,5684,25011.0,0.1383
victim_stream,test-fmath,512,16777216,1482,6064.0,0.2679
victim_stream,test-llong,512,16777216,617,1982.0,0.5381
victim_stream,test-lswlr,512,16777216,501,1515.0,0.6028
victim_stream,test-math,512,16777216,5684,25011.0,0.1383
victim_stream,test-fmath,32768,2097152,471,1288.0,0.6306
victim_stream,test-llong,32768,2097152,440,873.0,0.6773
victim_stream,test-lswlr,32768,2097152,435,805.0,0.6828
victim_stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,32768,2097152,471,1288.0,0.6306
victim_stream,test-llong,32768,2097152,440,873.0,0.6773
victim_stream,test-lswlr,32768,2097152,435,805.0,0.6828
victim_stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,2048,16777216,686,3671.0,0.5437
victim_stream,test-llong,2048,16777216,515,2038.0,0.6835
victim_stream,test-lswlr,2048,16777216,475,1643.0,0.7389
victim_stream,test-math,2048,16777216,1709,12178.0,0.2727
victim_stream,test-fmath,512,8388608,1369,9148.0,0.3221
victim_stream,test-llong,512,8388608,603,2658.0,0.6235
victim_stream,test-lswlr,512,8388608,499,1887.0,0.7074
victim_stream,test-math,512,8388608,5086,39667.0,0.1583
miss_stream,test-fmath,8192,8388608,513,1486.0,0.3899
miss_stream,test-llong,8192,8388608,481,1073.0,0.4158
miss_stream,test-lswlr,8192,8388608,461,965.0,0.436
miss_stream,test-math,8192,8388608,806,2493.0,0.2742
miss_stream,test-fmath,32768,2097152,471,1288.0,0.6306
miss_stream,test-llong,32768,2097152,440,873.0,0.6773
miss_stream,test-lswlr,32768,2097152,435,805.0,0.6828
miss_stream,test-math,32768,2097152,544,1830.0,0.5809
miss_stream,test-fmath,32768,2097152,471,1288.0,0.6306
miss_stream,test-llong,32768,2097152,440,873.0,0.6773
miss_stream,test-lswlr,32768,2097152,435,805.0,0.6828
miss_stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,2048,8388608,702,3807.0,0.5299
victim_stream,test-llong,2048,8388608,522,2078.0,0.6782
victim_stream,test-lswlr,2048,8388608,477,1659.0,0.7358
victim_stream,test-math,2048,8388608,1803,12954.0,0.2568
victim_stream,test-fmath,2048,8388608,702,3807.0,0.5299
victim_stream,test-llong,2048,8388608,522,2078.0,0.6782
victim_stream,test-lswlr,2048,8388608,477,1659.0,0.7358
victim_stream,test-math,2048,8388608,1803,12954.0,0.2568
miss_stream,test-fmath,8192,2097152,506,1474.0,0.3933
miss_stream,test-llong,8192,2097152,470,1053.0,0.4234
miss_stream,test-lswlr,8192,2097152,461,965.0,0.436
miss_stream,test-math,8192,2097152,651,2189.0,0.3349
stream,test-fmath,8192,2097152,580,1620.0,0.3448
stream,test-llong,8192,2097152,481,1073.0,0.4158
stream,test-lswlr,8192,2097152,461,965.0,0.436
stream,test-math,8192,2097152,806,2493.0,0.2742
stream,test-fmath,32768,4194304,471,1560.0,0.7431
stream,test-llong,32768,4194304,440,1057.0,0.7864
stream,test-lswlr,32768,4194304,435,965.0,0.7954
stream,test-math,32768,4194304,544,2302.0,0.682
victim_stream,test-fmath,32768,16777216,471,2112.0,0.7983
victim_stream,test-llong,32768,16777216,440,1393.0,0.8455
victim_stream,test-lswlr,32768,16777216,435,1277.0,0.8529
victim_stream,test-math,32768,16777216,544,3254.0,0.7316
victim_stream,test-fmath,512,4194304,1482,6064.0,0.2679
victim_stream,test-llong,512,4194304,617,1982.0,0.5381
