benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,78,0,0,704,207,497,1569,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0,0,522,202,320,1069,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0,0,477,201,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,228,0,0,1804,285,1519,4365,907
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,78,0,0,704,207,497,1569,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0,0,522,202,320,1069,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0,0,477,201,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,228,0,0,1804,285,1519,4365,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,78,0,0,705,208,497,1569,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,23,0,0,523,203,320,1069,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,478,202,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,228,0,0,1805,286,1519,4365,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,78,0,0,705,208,497,1569,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,23,0,0,523,203,320,1069,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,478,202,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,228,0,0,1805,286,1519,4365,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,78,0,0,705,208,497,1569,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,23,0,0,523,203,320,1069,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,478,202,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,228,0,0,1805,286,1519,4365,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,78,0,0,705,208,497,1569,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,23,0,0,523,203,320,1069,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,9,0,0,478,202,276,950,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,228,0,0,1805,286,1519,4365,907
