benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,96,0,0,686,401,4275,5135,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,30,0,0,515,379,2040,2605,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,10,0,0,476,377,1485,1982,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,328,0,0,1704,509,17925,20447,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,96,0,0,687,402,4275,5135,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,30,0,0,516,380,2040,2605,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,10,0,0,477,378,1485,1982,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,328,0,0,1705,510,17925,20447,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,96,0,0,687,402,4275,5135,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,30,0,0,516,380,2040,2605,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,10,0,0,477,378,1485,1982,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,328,0,0,1705,510,17925,20447,907
